goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,pressures,China,-0.04457142857144784,  ,CHN
AO,pressures,Christmas Island,0.11428571428574388, ,CXR
AO,pressures,Clipperton Island,-0.042571428571441285,  ,NA
AO,pressures,Cocos Islands,0.0882857142857379, ,CCK
AO,pressures,Colombia,-0.25514285714288676,  ,COL
AO,pressures,Comoro Islands,-0.5380000000001024,  ,COM
AO,pressures,Cook Islands,-0.5348571428572788,  ,COK
AO,pressures,Costa Rica,-0.14485714285717688,  ,CRI
AO,pressures,Croatia,-0.01885714285714757,  ,HRV
AO,pressures,Crozet Islands,-0.029428571428584595,  ,NA
AO,pressures,Cuba,-0.15142857142861588,  ,CUB
AO,pressures,Curacao,-0.07742857142858563,  ,NA
AO,pressures,Cyprus,0.10600000000002069, ,CYP
AO,pressures,Democratic Republic of the Congo,8.571428571212357e-4, ,NA
AO,pressures,Denmark,-0.051428571428561595,  ,DNK
AO,pressures,Djibouti,0.3414285714286416, ,DJI
AO,pressures,Dominica,-0.05114285714286832,  ,DMA
AO,pressures,Dominican Republic,-0.31971428571435107,  ,DOM
AO,pressures,East Timor,-0.14171428571432,  ,TLS
AO,pressures,Ecuador,-0.28600000000002934,  ,ECU
AO,pressures,Egypt,0.24571428571428625, ,EGY
AO,pressures,El Salvador,0.05657142857143337, ,SLV
AO,pressures,Equatorial Guinea,0.30942857142862873, ,GNQ
AO,pressures,Eritrea,0.17142857142861542, ,ERI
AO,pressures,Estonia,-0.3225714285715082,  ,EST
AO,pressures,Faeroe Islands,-0.20171428571432212,  ,NA
AO,pressures,Falkland Islands,0.11514285714288541, ,FLK
AO,pressures,Fiji,-0.6980000000001562,  ,FJI
AO,pressures,Finland,0.14571428571431652, ,FIN
AO,pressures,France,0.0540000000000055, ,FRA
AO,pressures,French Guiana,-0.1128571428571717,  ,GUF
AO,pressures,French Polynesia,-0.005142857142860804,  ,PYF
AO,pressures,Gabon,-0.006857142857140603,  ,GAB
AO,pressures,Gambia,0.21828571428576982, ,GMB
AO,pressures,Georgia,-0.4560000000000776,  ,GEO
AO,pressures,Germany,-0.2002857142857609,  ,DEU
AO,pressures,Ghana,0.0705714285714578, ,GHA
AO,pressures,Gibraltar,-0.1851428571428899,  ,GIB
